Month,US,EU,JP
2012-07-01,8,4,2.3
2012-08-01,6.3,3,2.5
2012-09-01,6.9,3,2.4
2012-10-01,7.2,4,2.3
2012-11-01,7.3,4,2.1
2012-12-01,8.2,5,2.5
2013-01-01,7.6,4,2.6
2013-02-01,7.1,4,2.9
2013-03-01,7.3,4,3
2013-04-01,7.1,5,3.2
2013-05-01,7.1,4,3.5
2013-06-01,6.9,4,3.8
2013-07-01,6.7,4,3.8
2013-08-01,6.5,4,3.8
2013-09-01,6.2,4,3.9
2013-10-01,6.7,3,4.1
2013-11-01,6.1,3,4.3
2013-12-01,5.4,2,4.2
2014-01-01,5.7,2,4.3
2014-02-01,6.5,2,3.9
2014-03-01,6.2,2,3.6
2014-04-01,6.3,2,3.5
2014-05-01,6.6,2,3.2
2014-06-01,6.6,3,3.1
2014-07-01,6.6,3,3
2014-08-01,6.3,3,3
2014-09-01,6.1,3,3.1
2014-10-01,5.5,3,3.1
2014-11-01,5.8,4,3.5
2014-12-01,5.9,5,3.5
2015-01-01,6,5,3.3
2015-02-01,6.3,5,3.5
2015-03-01,6.1,6,3.7
2015-04-01,6,6,3.6
2015-05-01,5.6,6,4
2015-06-01,5.5,6,3.9
2015-07-01,5.4,7,4
2015-08-01,5.6,6,4.1
2015-09-01,5.7,6,3.8
2015-10-01,5.5,7,3.6
2015-11-01,5.9,7,3.2
2015-12-01,5.7,6,3.1
2016-01-01,6.2,5,3.1
2016-02-01,5.7,6,3.1
2016-03-01,6.1,5,3.1
2016-04-01,6.5,5,3.3
2016-05-01,6.7,5,3.2
2016-06-01,6.9,5,3.4
2016-07-01,6.9,5,3.3
2016-08-01,7.2,5,3.1
2016-09-01,7.2,5,3.4
2016-10-01,7.5,5,3.5
2016-11-01,7.3,5,3.7
2016-12-01,7,5,3.9
2017-01-01,6.6,5,4
2017-02-01,6.4,5,4.2
2017-03-01,6.5,5,4.3
2017-04-01,6.2,5,4
2017-05-01,6.1,5,3.8
2017-06-01,5.7,5,3.9
2017-07-01,5.7,5,4
2017-08-01,5.4,5,4
2017-09-01,5.3,5,4
2017-10-01,5.1,5,4
2017-11-01,4.7,5,3.9
2017-12-01,4.8,5,3.6
2018-01-01,4.4,5,3.5
2018-02-01,4.1,4,3.3
2018-03-01,4,4,3.2
2018-04-01,3.8,4,3.2
2018-05-01,3.9,4,3.1
2018-06-01,4.1,5,3
2018-07-01,3.9,4,2.9
2018-08-01,3.8,4,2.8
2018-09-01,3.7,4,2.7
2018-10-01,3.4,4,2.6
2018-11-01,3.3,4,2.3
2018-12-01,3.7,4,2.4
2019-01-01,4.2,4,2.4
2019-02-01,4.1,5,2.5
2019-03-01,4,5,2.5
2019-04-01,4.1,6,2.6
2019-05-01,4.3,5,2.6
2019-06-01,4.7,5,2.3
2019-07-01,5,6,2.2
2019-08-01,5.2,6,2.3
2019-09-01,5.6,6,2.3
2019-10-01,6.4,6,2.3
2019-11-01,7,6,2.7
2019-12-01,6.6,6,2.8
